,Año,Actividad,Capital Federal,Gran Buenos Aires,Resto Bs As,Catamarca,Cordoba,Corrientes,Chaco,Chubut,Entre Rios,Formosa,Jujuy,La Pampa,La Rioja,Mendoza,Misiones,Neuquen,Rio Negro,Salta,San Juan,San Luis,Santa Cruz,Santa Fe,Santiago del Estero,Tierra del Fuego,Tucuman
3203,2021-04-01,Producción de semillas (10),"533,910","2,719,655","1,798,953",27,"281,255",980,"2,449","3,226","4,021",-,-,289,-,"12,061",676,386,619,"3,757","3,073",260,250,"238,835",2,-,"46,415"
3204,2021-04-01,Servicios agrícolas,"11,094,885","619,631","5,498,981","3,022","4,847,690","209,212","593,058","16,884","378,422","32,721","27,508","563,142",555,"100,697","209,901","211,639","94,521","493,018","18,444","90,057","7,530","2,451,334","155,295","11,457","803,286"
3205,2021-04-01,Cría de animales y servicios pecuarios (11),"56,043,732","10,797,397","22,914,624","8,333","13,594,653","2,764,421","1,066,254","260,787","3,484,695","177,035","46,535","3,038,623","1,502","3,592,810","106,028","146,507","406,926","898,564","335,625","4,383,613","143,290","10,281,068","63,762","10,356","795,126"
3206,2021-04-01,Cría de ganado (12),"52,356,039","10,656,144","21,602,608","6,581","12,563,032","2,741,695","1,046,728","245,262","2,438,547","176,734","20,150","2,889,518","1,011","3,493,847","101,796","137,213","395,892","892,375","312,092","4,348,429","141,382","9,679,481","40,483","10,110","713,883"
3207,2021-04-01,Bovino (13),"29,668,980","5,670,972","14,675,316","2,766","5,680,791","2,235,000","986,933","72,231","1,762,147","176,239","18,044","2,763,292",654,"258,203","78,892","84,661","347,095","815,212","31,369","1,280,153",373,"4,852,344","29,214","1,861","165,980"
3208,2021-04-01,Ovino (14),"996,028","89,628","52,897",-,"3,484","2,253",-,"82,523","3,367",17,-,"1,006",222,"3,998",-,"4,338","6,349",9,-,517,"120,363","24,681",-,"6,480",-
3209,2021-04-01,Porcino (15),"567,139","118,643","453,105","3,176","667,408","10,385","28,396","5,384","118,260",-,"1,370",92,-,"1,734","16,854",767,277,"14,928",636,"3,360",81,"230,997",919,634,29
3210,2021-04-01,Equino (16),"11,953","5,712","49,035",-,"13,708",10,-,67,623,-,16,66,-,-,-,17,12,40,-,-,-,"1,256",32,938,61
3211,2021-04-01,Caprino (17),"4,267",156,"10,122",-,"11,437",30,-,92,"1,371",-,104,-,-,22,-,74,533,-,21,-,"19,326",504,-,-,-
3212,2021-04-01,En cabañas y haras (18),"349,560","11,078","231,816",199,"137,013","21,117","8,085",124,"22,725",-,23,"1,742",-,"1,459",728,"4,124","1,732","4,258",49,118,-,"9,164",-,-,"4,772"
3213,2021-04-01,Producción de leche (19),"2,638,958","114,170","3,748,127",321,"2,784,951",93,6,14,"281,031",244,-,"85,017",135,130,-,-,"8,380","22,052",-,"20,845",-,"3,331,567",498,-,"7,559"
